Strategy,Universe,RS,Cap,CAGR %,Total Return %,Sharpe,Max DD %,Turnover x/yr,Trades,"Win Rate % (closed, net)",Never-seen Sharpe,Never-seen Max DD %,Last 1y total %,Last 2y total %,2022 (from Apr 1) %,2023 %,2024 %,2025 %,2026 YTD %,Stock total return since 2022-04: mean %,Stock total return since 2022-04: median %,Stock total return since 2022-04: n,Stock total return last 1y: mean %,Stock total return last 1y: median %,Stock total return last 1y: n,Stock total return last 2y: mean %,Stock total return last 2y: median %,Stock total return last 2y: n,"Trade return mean % (closed, net)","Trade return median % (closed, net)",Cap binds (% of weekly decisions),Avg added names held (of 10),Robust Sharpe @0.2%/side,Holdings 2026-09-18 (official),Preview 2026-09-24,Note,P(Sharpe > 78/etf/cap4),"Passes rule vs live (Sharpe>, DD within 2, never-seen Sharpe >= 0.92)",Robust Sharpe start 2022-07,Robust Sharpe start 2023-01,Robust Sharpe start 2023-07,Sector,Window,Stocks,Mean stock return %,Median stock return %,Mean - median (pts),Top 3 stocks,Mean without top 3 %
QQQ buy & hold,,,,18.1106,110.1026,0.8458,-29.0733,0.224,1.0,,0.6074,-29.0733,24.9094,54.232,-26.0969,54.8527,25.5778,20.7725,21.0513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPY buy & hold,,,,14.0268,79.5847,0.853,-21.2854,0.224,1.0,,0.6676,-21.2854,17.304,37.3914,-14.6178,26.1768,24.8854,17.7187,13.3875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EW buy & hold 78,78,,,27.7958,198.6058,0.8608,-35.7584,0.224,68.0,,0.6906,-35.7584,7.8065,87.3131,-31.5851,76.887,54.2016,38.4735,15.557,201.4876,80.4973,68.0,20.0985,-1.8465,78.0,137.3118,50.543,75.0,,,,,,,,,,,,,,,,,,,,,
EW buy & hold U84,U84,,,27.9952,200.6892,0.8774,-35.1749,0.224,74.0,,0.6627,-33.7748,12.9539,94.8187,-28.8725,67.6993,51.0841,38.899,20.1243,203.4347,78.4754,74.0,24.5999,0.7285,84.0,160.1459,50.543,81.0,,,,,,,,,,,,,,,,,,,,,
EW buy & hold U91,U91,,,27.2817,193.2843,0.8824,-34.5498,0.224,81.0,,0.6729,-32.4014,13.6235,90.2274,-27.2468,64.2416,48.3804,37.9991,19.8673,195.947,77.7778,81.0,25.0689,3.7991,91.0,150.6282,49.7615,88.0,,,,,,,,,,,,,,,,,,,,,
EW buy & hold U98,U98,,,26.4392,184.7245,0.8816,-33.8169,0.224,88.0,,0.6784,-31.5622,13.2923,85.5434,-25.7706,60.8008,47.3864,36.3185,18.7267,187.3393,78.4754,88.0,23.7372,3.3711,98.0,141.7101,48.6373,95.0,,,,,,,,,,,,,,,,,,,,,
C6 cap 4 | 78 | RS etf,78,etf,4.0,46.6574,451.7841,1.4707,-28.5835,39.7878,848.0,46.0621,0.9244,-22.3251,27.1665,220.9391,-4.6185,32.3337,142.0247,62.9648,10.8361,,,,,,,,,,0.983,-1.009,57.265,0.0,1.3338,ANET COIN FTNT GTLB HOOD IREN META MRK TEAM TEM,AMD BIIB COIN HOOD META MRK TEAM TEM TWLO ZS,,,,1.5543,1.6745,1.6884,,,,,,,,
C6 cap 4 | 78 | RS sector_median,78,sector_median,4.0,47.853,472.1318,1.5043,-27.0553,39.5734,845.0,46.8263,1.0492,-21.678,17.8936,214.593,-2.5198,32.3144,157.5664,60.1364,7.5457,,,,,,,,,,0.7799,-0.9691,61.9658,0.0,1.3675,ANET COIN GTLB HOOD IREN META MRK TEAM TEM TWLO,AMD BIIB HOOD IREN META MRK TEAM TEM TWLO ZS,,0.6465,True,1.584,1.6955,1.734,,,,,,,,
C6 cap 4 | 78 | RS median_all,78,median_all,4.0,43.652,403.1073,1.3772,-30.051,40.2472,865.0,45.731,0.9332,-25.2648,17.8434,188.4159,-6.2235,26.8954,163.3993,47.3629,8.9226,,,,,,,,,,0.6457,-0.8283,35.0427,0.0,1.2415,ANET COIN GTLB HOOD IREN META MRK TEAM TEM TWLO,AMD BIIB HOOD META MRK SHOP TEAM TEM TWLO ZS,,0.24,False,,,,,,,,,,,
C6 cap 4 | U84 | RS etf,U84,etf,4.0,45.8582,438.4979,1.4626,-30.6004,42.1398,898.0,46.2838,0.746,-22.4111,48.0902,253.7151,-8.6134,24.9725,133.135,57.2017,28.6537,,,,,,,,,,0.9047,-0.7459,58.547,1.0214,1.3162,ANET APA FTNT GTLB HOOD META MRK TEAM TEM TRGP,AMD BIIB DVN HOOD META MRK TEAM TEM TWLO ZS,,0.533,False,,,,,,,,,,,
C6 cap 4 | U84 | RS sector_median,U84,sector_median,4.0,46.6678,451.9572,1.4828,-28.2265,42.7054,912.0,46.4523,0.8116,-23.6038,35.9376,250.6035,-7.6575,25.8215,128.0791,75.3113,18.8101,,,,,,,,,,0.9724,-0.7796,58.1197,1.1368,1.3341,ANET APA GTLB HOOD META MRK TEAM TEM TRGP TWLO,BIIB DVN GTLB HOOD META MRK TEAM TEM TWLO ZS,,0.572,False,,,,,,,,,,,
C6 cap 4 | U84 | RS median_all,U84,median_all,4.0,38.8459,332.2574,1.2605,-32.9078,42.9327,917.0,44.5424,0.7795,-28.3623,16.1558,174.9088,-11.2578,22.7363,159.9423,38.4793,10.2498,,,,,,,,,,0.5238,-1.2875,36.7521,1.0,1.1158,ANET APA GTLB HOOD META MRK TEAM TEM TRGP TWLO,BIIB DVN GTLB HOOD META SHOP TEAM TEM TWLO ZS,,0.103,False,,,,,,,,,,,
C6 cap 4 | U91 | RS etf,U91,etf,4.0,44.1127,410.343,1.4509,-31.2755,43.5222,935.0,47.027,0.7203,-23.8552,46.401,242.8521,-8.4972,19.2804,136.7788,59.0795,24.1371,,,,,,,,,,0.9745,-0.5367,57.6923,1.7222,1.2956,ANET APA FTNT GTLB HOOD META MRK TEAM TEM TRGP,AMD BIIB DVN HOOD META MRK PANW TEAM TEM TWLO,,0.5105,False,,,,,,,,,,,
C6 cap 4 | U91 | RS sector_median,U91,sector_median,4.0,37.9277,319.6527,1.2785,-29.6694,43.8585,938.0,46.2284,0.4543,-25.6251,37.6923,234.8431,-10.8937,15.0334,122.1995,54.3788,19.3512,,,,,,,,,,0.7868,-0.8096,60.6838,1.8291,1.1243,ANET APA GTLB HOOD META MRK TEAM TEM TRGP TWLO,BIIB DVN GTLB HOOD META MRK TEAM TEM TWLO ZS,,0.1345,False,,,,,,,,,,,
C6 cap 4 | U91 | RS median_all,U91,median_all,4.0,40.1308,350.3877,1.3098,-28.8749,42.6925,922.0,44.4079,0.7687,-28.194,25.1254,192.5951,-8.976,19.3599,148.5827,59.4248,4.6033,,,,,,,,,,0.7179,-1.1389,35.8974,1.5855,1.1634,ANET APA GTLB HOOD META MRK TEAM TEM TRGP TWLO,BIIB COIN GTLB HOOD META SHOP TEAM TEM TWLO ZS,,0.1935,False,,,,,,,,,,,
C6 cap 4 | U98 | RS etf,U98,etf,4.0,37.6119,315.3834,1.3163,-30.6946,44.8757,969.0,47.1324,0.6791,-24.3562,38.6153,189.3639,-9.4653,19.0278,110.2138,52.1046,20.5541,,,,,,,,,,0.993,-0.5307,56.8376,2.1453,1.1512,ANET APA FTNT GTLB HOOD META MRK TEAM TEM TRGP,AMD BIIB DVN HOOD META MRK PANW TEAM TEM TWLO,,0.219,False,,,,,,,,,,,
C6 cap 4 | U98 | RS sector_median,U98,sector_median,4.0,40.5222,356.0252,1.3716,-28.6667,44.3433,963.0,48.3736,0.5995,-25.1768,40.8482,237.0518,-10.8295,19.3431,126.2611,55.5214,21.7784,,,,,,,,,,1.1045,-0.4213,56.4103,2.2521,1.2116,ANET APA GTLB HOOD META MRK TEAM TEM TRGP TWLO,BIIB COIN DVN GTLB HOOD META TEAM TEM TWLO ZS,,0.3085,False,,,,,,,,,,,
C6 cap 4 | U98 | RS median_all,U98,median_all,4.0,37.2822,310.9638,1.2718,-28.4292,44.0255,959.0,45.627,0.5691,-26.8878,35.6393,199.277,-10.9174,12.9478,141.0464,49.2973,13.4959,,,,,,,,,,0.5164,-0.8938,33.3333,2.0556,1.1156,ANET APA GTLB HOOD META MRK TEAM TEM TRGP TWLO,BIIB DVN GTLB HOOD META SHOP TEAM TEM TWLO ZS,,0.146,False,,,,,,,,,,,
C6 cap 2 | 78 | RS sector_median,78,sector_median,2.0,38.1849,323.1545,1.3718,-24.2451,37.4591,796.0,42.7481,1.0536,-16.8165,-2.3702,136.2182,-5.9772,40.0186,121.1547,56.238,-6.9756,,,,,,,,,,0.6703,-1.3174,,,,,,cap check (report only),0.4005,False,,,,,,,,,,,
